PROVEEDOR O CONTRATISTA, 	DEPENDENCIA, 	NUMERO DE EXPEDIENTE, 	HECHOS DE LA IRREGULARIDAD, 	OBJETO SOCIAL, 	SENTIDO DE RESOLUCION, 	FECHA DE NOTIFICACION, 	FECHA DE RESOLUCION, 	PLAZO, 	MONTO, 	NOMBRE DEL RESPONSABLE DE LA INFORMACION, 	FECHA DE ACTUALIZACION 
J.M.G. SERVICIOS  S.A. DE C.V.,	PEMEX GAS Y PETROQUIMICA BASICA,	0006/2015,	PRESUNTAMENTE PROPORCIONÓ INFORMACIÓN FALSA EN UN PROCEDIMIENTO DE CONTRATACIÓN.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	17/05/2016,	04/05/2016,	3 MESES,	100935.00,	,	14/01/2021 08:01
J.P. CONSTRUCCIÓN  ELECTRIFICACIÓN  REMODELACIÓN Y SUPERVISIÓN  DE OBRA  S.A. DE C.V.,	COMISION FEDERAL DE ELECTRICIDAD,	0056/2011,	LA EMPRESA PROPORCIONÓ INFORMACIÓN FALSA  EN LOS PROCEDIMIENTOS DE CONTRTACIÓN EN  LOS QUE PARTICIPÓ  AL DECLARAR  BAJO PROTESTA DE DECIR VERDAD QUE NO SE ENCONTRABA EN LOS SUPUESTOS DEL ARTÍCULO 51 DE LA LOPSRM.,	CONSTRUCCIÓN Y REHABILITACIÓN DE OBRA PÚBLICA  Y PRIVADA  OBRA CIOVIL  DE INFRAESTRUCTURA  TERRESTRES  MARITIMAS  PETROLERAS  INDUSTRIALES  DE COMUNICACIÓN  ETC.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	12/03/2014,	11/03/2014,	1 AÑO,	315540.00,	MTRA. VERÓNICA  AGUILERA ORTA ORTA,	14/01/2021 08:01
JAGP  S.A. DE C.V.,	PEMEX GAS Y PETROQUIMICA BASICA,	0016/2009,	LA EMPRESA PRESENTÓ PARA LA FORMALIZACIÓN DEL CONTRATO PÓLIZAS DE GARANTÍA FALSAS,	MANTENIMIENTO PREVENTIVO Y CORRECTIVO A PARQUE VEHICULAR DE MANIOBRAS Y CARGA PESADA.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	01/12/2009,	01/12/2009,	1 AÑO,	303420.00,	,	14/01/2021 08:01
JAGP S.A. DE C.V. Y JOSÉ LUIS DOMINGUEZ ÁVILA.,	PEMEX GAS Y PETROQUIMICA BASICA,	0015/2009,	LA EMPRESA PRESENTÓ PARA LA FORMALIZACIÓN DEL CONTRATO PÓLIZAS DE GARANTÍA FALSAS.,	MANTENIMIENTO PREVENTIVO Y CORRECTIVO A PARQUE VEHICULAR DE MANIOBRAS Y CARGA PESADA.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	02/12/2009,	01/12/2009,	1 AÑO,	326058.00,	,	14/01/2021 08:01
JAGUAR INGENIEROS CONSTRUCTORES  S.A. DE C.V.,	GRUPO AEROPORTUARIO DE LA CIUDAD DE MEXICO  S.A.,	0010/2018,	INTEGRÓ EL DOCUMENTO DE CUMPLIMIENTO EMITIDO POR EL INFONAVIT ALTERADO,	CONSTRUCCIÓN DEL EDIFICIO DEL CENTRO INTERMODAL DE TRANSPORTE TERRESTRE (CITT) PARA EL NUEVO AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MÉXICO,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	13/05/2019,	08/05/2019,	1 AÑO 3 MESES,	604500.00,	HÉCTOR YESCAS TORRES,	14/01/2021 08:01
JAIME ESTEBAN GONZÁLEZ HERNÁNDEZ,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0025/2008,	PROPORCIONO INFORMACION FALSA AL MANIFESTAR BAJO PROTESTA DE DECIR VERDAD DE CUMPLIR CON LAS NORMAS OFICIALES NOM-068-SCFI-2000 Y NOM-002 SEMARNAT-1996,	MANTENIMIENTO  REPARACION Y CONSTRUCCION DE VEHICULOS CON MOTOR A GASOLINA  DIESEL Y MAQUINARIA PESADA,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	25/04/2011,	11/04/2011,	1 AÑO,	78383.50,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
JALFERMA S.A. DE C.V.,	CONSEJO NACIONAL DE FOMENTO EDUCATIVO,	0001/2015,	LA EMPRESA JALFERMA S.A. DE C.V. NO PRESENTÓ LA DOCUMENTACIÓN REQUERIDA EN EL NUMERAL 6.4 PEDIDO PARA LA FORMALIZACION DEL MISMO,	,	SANCIONATORIA CON MULTA,	02/08/2017,	02/08/2017,	,	91796.00,	LIC. HORACIO REYES  VALDEZ,	14/01/2021 08:01
JASE INTERNACIONAL DE COMERCIO  S.A. DE C.V.,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0154/2007,	LA EMPRESA POR CAUSAS IMPUTABLES A ELLA NO FORMALIZO EL CONTRATO NO. D60622,	IMPORTACION  EXPORTACION  PROMOCION  VENTA  DISTRIBUCION  COMERCIALIZACION  COMISION  CONSIGNACION Y REPRESENTACION DE TODA CLASE DE BIENES Y MATERIALES NECESARIOS PARA LA PRESTACION  Y DESARROLLO DE SERVICIOS HOSPITALARIOS,	SANCIONATORIA CON MULTA,	13/10/2010,	30/09/2010,	,	15087.70,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
JAVIER HERNÀNDEZ FLORES JAVIER HERNÁNDEZ,	BANCO NACIONAL DE CREDITO RURAL  S.N.C.,	0002/2006,	HABER MANIFESTADO BAJO PROTESTA DE DECIR VERDAD ENCONTRARSE AL CORRIENTE EN EL CUMPLIMIENTO DE SUS OBLIGACIONES FISCALES  SIENDO DICHA MANIFESTACIÓN FALSA,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	27/07/2006,	25/07/2006,	3 MESES,	72540.00,	VICTOR MANUEL MUCIÑO GARCIA,	14/01/2021 08:01
JAVIER HERNANDEZ FLORES,	BANCO NACIONAL DE CREDITO RURAL  S.N.C.,	0001/2007,	PRESENTÓ INFORMACIÓN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.,	SERVICIOS DE MANTENIMIENTO CORRECTIVO A EQUIPOS DE OFICINA (MÁQUINAS DE ESCRIBIR  CALCULADORAS  FAXES  ENGARGOLADORAS Y RELOJES CHECADOR) ,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	07/05/2007,	30/04/2007,	3 MESES,	75438.50,	VICTOR MANUEL MUCIÑO GARCIA,	14/01/2021 08:01
JAVIER HERNANDEZ HERNANDEZ,	TALLERES GRAFICOS DE MEXICO,	0002/2020,	EL PROVEEDOR JAVIER HERNÁNDEZ HERNÁNDEZ PROPORCIONÓ EL DOCUMENTO DENOMINADO OPINIÓN DEL CUMPLIMIENTO DE OBLIGACIONES FISCALES  CON INFORMACIÓN FALSA.,	REPARACIÓN Y MANTENIMIENTO E MAQUINARIA Y EQUIPO INDUSTRIAL (REFACCIONES PARA COMPRESORES Y SECADORAS DE AIRE),	SANCIONATORIA CON MULTA E INHABILITACIÓN,	02/10/2020,	30/09/2020,	4 MESES,	231030.00,	DIEGO MAURICIO MALPICA MELENDEZ,	14/01/2021 08:01
JAVIER LOPEZ LAMADRID,	COMISION FEDERAL DE ELECTRICIDAD,	0008/2015,	NO SE PRESENTO A FORMALIZAR EL CONTRATO,	,	SANCIONATORIA CON MULTA,	04/05/2016,	03/05/2016,	,	108655.00,	MTRA. VERÓNICA  AGUILERA ORTA ORTA,	14/01/2021 08:01
JC  SINTEC  S.A. DE C.V.,	PEMEX EXPLORACIÓN Y PRODUCCION,	0334/2007,	HABER PRESENTADO CARTA DE RESPALDO A SUS PROPUESTAS TECNICAS  SUPUESTAMENTE FIRMADA POR BROTHER INTERNATIONAL DE MEXICO  S.A. DE C.V.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	18/04/2011,	13/04/2011,	2 AÑOS 6 MESES,	730050.00,	VÍCTOR OCTAVIO GÓMEZ CERECEDO,	14/01/2021 08:01
JEANS MERCURIO S.A. DE C.V.,	INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,	0023/2008,	LA EMPRESA JEANS MERCURIO S.A. DE C.V. PRESENTO DOCUMENTACION FALSA CONSISTENTE EN UN CONTRATO DE COMODATO CON EL CUAL PRETENDIO ACREDITAR LA RELACION CON PABLO NERUDA HOSPITAL S.A. DE C.V.  YA QUE UNA VEZ REALIZADA LA COMPULSA DE DICHO DOCUMENTO SE COMPROBÓ QUE NO SE CELEBRO CONTRATO ALGUNO CON DICHA EMPRESA ADEMAS DE QUE LA FIRMA DEL MISMO ES FALSA,	,	SANCIONATORIA CON MULTA,	13/01/2009,	18/12/2008,	,	78383.50,	KARLA MARÍA  GONZÁLEZ SALCEDO ,	14/01/2021 08:01
JEAN´S LARA  S.A DE C.V,	SERVICIO NACIONAL DE SANIDAD  INOCUIDAD Y CALIDAD AGROALIMENTARÍA,	0001/2020,	SE NEGO A ENTREGAR LA FIANZA ,	,	SANCIONATORIA CON MULTA,	22/09/2020,	21/09/2020,	,	30804.40,	LILLIAN MORALES PATIÑO,	14/01/2021 08:01
JESÚS GUILLERMO LUJÁN VERDUZCO,	SECRETARIA DE LA FUNCIÓN PÚBLICA,	0021/2018,	INFRACCIÓN A LO ESTABLECIDO EN EL ARTÍCULO 46  DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PÚBLICO  AL NO FORMALIZAR EL CONTRATO QUE LE FUE ADJUDICADO.,	,	SANCIONATORIA CON MULTA,	19/12/2019,	18/12/2019,	,	140411.40,	MARÍA GUADALUPE VARGAS ÁLVAREZ,	14/01/2021 08:01
JML CONSTRUCCIONES  S.A. DE C.V.,	AEROPUERTOS Y SERVICIOS AUXILIARES,	0015/2003,	NO ESTAR AL CORRIENTE EN SUS OBLIGACIONES FISCALES.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	23/12/2005,	22/12/2005,	3 MESES,	60525.00,	LUIS MANUEL LOPEZ  TORRES,	14/01/2021 08:01
JOALD LIMPIEZA Y SERVICIOS S.A. DE C.V.,	ADMINISTRACIÓN PORTUARIA INTEGRAL DE VERACRUZ  S.A. DE C.V.,	0003/2020,	EN EL PROCESO DE LICITACIÓN AL MOMENTO DE LA PRESENTACIÓN Y APERTURA DE PROPUESTAS LA EMPRESA JOAD LIMPIEZA Y SERVICIOS S.A. DE C.V.;  EXHIBIERON EN SU PROPUESTA ECONÓMICA EL DOCUMENTO DE-02 SE OBSERVÓ QUE PRESENTAN EL MISMO CONTENIDO NUMÉRICO EN EL CUADRO A) CUADRO ECONÓMICO DE SUELDOS QUE OTRO DE LOS LICITANTES.,	LA REALIZACIÓN DE LIMPIEZA Y MANTENIMIENTO DE OFICINAS  DESPACHOS  CASAS Y ESTABLECIMIENTOS  YA SEA POR CUENTA PROPIA O DE TERCEROS.,	SANCIONATORIA CON MULTA,	23/10/2020,	20/10/2020,	,	6161.00,	OSCAR MAYORAL  BARRANCA ,	14/01/2021 08:01
JOAQUÍN ROMERO APARICIO  ARQUITECTOS ASOCIADOS  S. A. DE C.V.,	AEROPUERTOS Y SERVICIOS AUXILIARES,	0054/2006,	PRESENTÓ INFORMACIÓN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	07/03/2007,	26/02/2007,	3 MESES,	70200.00,	LUIS MANUEL LOPEZ  TORRES,	14/01/2021 08:01
JOAQUIN ROMERO APARICIO ARQUITECTOS ASOCIADOS  S.A. DE C.V.,	AEROPUERTOS Y SERVICIOS AUXILIARES,	0055/2006,	PRESENTÓ INFORMACIÓN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	07/03/2007,	26/02/2007,	3 MESES,	70200.00,	LUIS MANUEL LOPEZ  TORRES,	14/01/2021 08:01
JOBT CONSTRUCCIONES  S.A. DE C.V.,	SECRETARIA DE LA FUNCIÓN PÚBLICA,	0018/2016,	NO FORMALIZACIÓN DE CONTRATO,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	12/06/2018,	07/06/2018,	6 MESES,	226424.00,	MARÍA GUADALUPE VARGAS ÁLVAREZ,	14/01/2021 08:01
JOCELYN VANESSA HERNANDEZ ROMERO,	AEROPUERTO  INTERNACIONAL DE LA CIUDAD DE MEXICO S.A. DE C.V.,	0004/2019,	EL PROVEEDOR NO FORMALIZA CONTRATO POR NO ENTREGAR TODA LA DOCUMENTACIÓN SOLICITADA,	NO FORMALIZA CONTRATO,	SANCIONATORIA CON MULTA,	11/03/2020,	26/02/2020,	,	132540.00,	DANIEL GATICA MENDOZA,	14/01/2021 08:01
JOEL CONTRERAS REAL,	PEMEX GAS Y PETROQUIMICA BASICA,	0063/2006,	PRESENTÓ INFORMACIÓN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.,	INSTALACIÓN DE TORRES DE ENFRIAMIENTO Y OBRA CIVIL,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	25/01/2007,	19/01/2007,	3 MESES,	72540.00,	,	14/01/2021 08:01
JOEL CONTRERAS REAL,	PEMEX GAS Y PETROQUIMICA BASICA,	0232/2006,	PRESENTÓ INFORMACIÓN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.,	INSTALACIÓN DE TORRES DE ENFRIAMIENTO Y OBRA CIVIL,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	02/04/2007,	02/04/2007,	3 MESES,	73005.00,	,	14/01/2021 08:01
JONATHAN SIMÓN SOTELO GÓMEZ,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0105/2016,	EL PROVEEDOR PROPORCIONÓ INFORMACIÓN FALSA,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	28/09/2018,	21/09/2018,	1 AÑO,	113212.00,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
JORGE ALBERTO PASOS PEREZ,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0053/2015,	OSTENTARSE COMO PROFESIONAL CON CÉDULA PROFESIONAL  SIN EMBARGO LA  CÉDULA ES APÓCRIFA.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	04/11/2016,	21/10/2016,	3 MESES,	105150.00,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
JORGE HERNANDEZ JUAREZ,	COMISION FEDERAL DE ELECTRICIDAD,	0046/2014,	NO FORMALIZACIÓN DEL CONTRATO.,	,	SANCIONATORIA CON MULTA,	29/10/2015,	19/10/2015,	,	100935.00,	MTRA. VERÓNICA  AGUILERA ORTA ORTA,	14/01/2021 08:01
JORGE QUIRARTE SALCEDO,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0267/2008,	EL PROVEEDOR ACTUÓ CON DOLO AL PRESENTAR DENTRO DE SU PROPUESTA TÉCNICA  REGISTROS SANITARIOS FALSOS. <br>CONTRATO NO. 180010 Y 180016.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	13/10/2011,	30/09/2011,	2 AÑOS 3 MESES,	81514.50,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
JORGE ROBERTO ESPAÑA PINETE,	TALLERES GRAFICOS DE MEXICO,	0007/2006,	,	Maquila de acabado e impresion (tiros cortos)  reproduccion de audio y video.,	,	,	,	TRES MESES,	,	LIC. MARISOL MONDRAGON UGALDE,	14/01/2021 08:01
JOSÉ ALFREDO GÓMEZ ALMAZÁN,	PETROLEOS MEXICANOS CORPORATIVO,	0001/2009,	NO SE HA PRESENTADO A LA FIRMA DEL CONTRATO,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	06/08/2009,	04/08/2009,	1 AÑO 3 MESES,	411000.00,	,	14/01/2021 08:01
JOSÉ ALFREDO HOYOS HERNÁNDEZ,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0073/2017,	EL LICITANTE PROPORCIONÓ INFORMACIÓN FALSA  AL UBICARSE EN LA FRACCIÓN II DEL ARTÍCULO 50 DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PÚBLICO.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	14/05/2019,	30/04/2019,	1 AÑO 6 MESES,	113212.00,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
JOSÉ ALFREDO JIMÉNEZ CASTAÑEDA,	COMISION FEDERAL DE ELECTRICIDAD,	0288/2006,	PRESENTÓ INFORMACIÓN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.,	ELIMINACIÓN DE FUGAS CRA 4A Y DERRAMES TMS,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	22/11/2006,	21/11/2006,	3 MESES,	73005.00,	MTRA. VERÓNICA  AGUILERA ORTA ORTA,	14/01/2021 08:01
JOSE CARLOS M SANCHEZ SANCHEZ,	SECRETARIA DE DESARROLLO SOCIAL,	0011/2014,	PRESUNTAMENTE LA PERSONA FÍSICA JOSÉ CARLOS M. SÁNCHEZ SÁNCHEZ INCUMPLIÓ CON SUS OBLIGACIONES CONTRACTUALES AL NO CONCLUIR LOS TRABAJOS QUE LE FUERON ENCOMENDADOS MEDIANTE EL CONTRATO DE OBRA PÚBLICA NÚMERO SDSDGRO-FON-VIV-002-12-17  EN EL TIEMPO CONVENIDO PARA SU TERMINACIÓN  ES DECIR  PARA EL DÍA 31 DE AGOSTO DE 2012  YA QUE PARA ESA FECHA LA OBRA NO ESTABA TERMINADA EN SU TOTALIDAD  SIN EMBARGO COBRÓ LAS ESTIMACIONES 1  2  3 Y ANTICIPO  LOS DÍAS VEINTICINCO DE JULIO  VEINTICINCO DE OCTUBRE  VEINTINUEVE DE NOVIEMBRE Y VEINTE DE DICIEMBRE TODOS DEL AÑO DOS MIL DOCE  GENERÁNDOSE CON ELLO UN PRESUNTO DAÑO ECONÓMICO PARA EL ERARIO PÚBLICO FEDERAL POR LA CANTIDAD DE $3´358 175.64 (TRES MILLONES TRESCIENTOS CINCUENTA Y OCHO MIL CIENTO SETENTA Y CINCO PESOS 64/100 M.N.); CORRESPONDIENTE A VIVIENDAS CON DAÑO TOTAL QUE NO FUERON REALIZADAS.,	CONSTRUCCION DE INMUEBLES COMERCIALES  INSTITUCIONALES Y DE SERVICIOS,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	01/04/2015,	20/03/2015,	5 AÑOS,	1869900.00,	,	14/01/2021 08:01
JOSE ENRIQUE HERRERA SALAZAR,	SERVICIO GEOLOGICO MEXICANO,	0019/2006,	PRESENTÓ INFORMACIÓN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	28/09/2006,	12/09/2006,	3 MESES,	68138.00,	SALVADOR FRONTANA REYES,	14/01/2021 08:01
JOSÉ FERNANDO JAVIER MADRID RENDÓN,	TELECOMUNICACIONES DE MEXICO,	0002/2016,	INCUMPLIÓ LO ESTABLECIDO EN EL ARTÍCULO 48  FRACCIÓN II Y ÚLTIMO PÁRRAFO DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PÚBLICO  POR LO QUE SE ACTUALIZA LA HIPÓTESIS DE SANCIÓN PREVISTA EN EL ARTÍCULO 59  PÁRRAFO PRIMERO DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PÚBLICO  QUE AL EFECTO ESTABLECE: “LOS LICITANTE O PROVEEDORES QUE INFRINJAN LAS DISPOSICIONES DE ESTA LEY  SERÁN SANCIONADOS POR LA SECRETARÍA DE LA FUNCIÓN PÚBLICA CON MULTA EQUIVALENTE A LA CANTIDAD DE CINCUENTA HASTA MIL VECES EL SALARIO MÍNIMO GENERAL VIGENTE EN EL DISTRITO FEDERAL ELEVADO AL MES  EN LA FECHA DE LA INFRACCIÓN”; ADEMÁS  ES DE ADVERTIRSE LA EXISTENCIA DE INTENCIÓN DEL PROVEEDOR DE NO EXHIBIR LA GARANTÍA DE CUMPLIMIENTO  LO ANTERIOR  TODA VEZ QUE EL PROVEEDOR FUE REQUERIDO PARA CUMPLIR LO ANTERIOR  MEDIANTE OFICIO NÚMERO 4250/159/2014CA  DE FECHA CATORCE DE ABRIL DE DOS MIL DIECISÉIS  RECIBIDO POR ÉSTE EL DÍA QUINCE DEL MISMO MES Y AÑO  NO OBSTANTE EL PROVEEDOR OMITIÓ CUMPLIR CON DICHO REQUERIMIENTO,	PRESTADOR DE SERVICIOS DE LIMPIEZA,	SANCIONATORIA CON MULTA,	17/11/2016,	07/11/2016,	,	111021.00,	FELIPE  URRUTIA  JIMÉNEZ,	14/01/2021 08:01
JOSE GABRIEL LOPEZ LOPEZ,	SECRETARIA DE RELACIONES EXTERIORES,	0002/2017,	PRESUNTAMENTE EL C. JOSÉ GABRIEL LÓPEZ LÓPEZ  OMITIÓ FORMALIZAR EL PEDIDO CORRESPONDIENTE A LA CONTRATACIÓN DE LOS SERVICIOS DE ESTILO  DISEÑO Y FORMACIÓN TIPOGRÁFICA DEL LIBRO TITULADO: “DIPLOMACIA CIUDADANA Y DESARROLLO SOSTENIBLE EN MÉXICO”  QUE LE FUE ADJUDICADO EN LA ADJUDICACIÓN DIRECTA ELECTRÓNICA NO. AA-005000999-E37-2017.,	,	SANCIONATORIA CON MULTA,	08/05/2019,	26/04/2019,	,	23401.90,	BENITO PAREDES GUTIERREZ,	14/01/2021 08:01
JOSÉ GUADALUPE GENCHI ADAME,	COMISION FEDERAL DE ELECTRICIDAD,	0005/2012,	AL PARTICIPAR EN VARIOS PROCEDIMIENTOS DE CONTRATACIÓN  PRESUNTAMENTE PROPORCIONÓ INFORMACIÓN FALSA.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	16/10/2013,	04/10/2013,	3 MESES,	86190.00,	MTRA. VERÓNICA  AGUILERA ORTA ORTA,	14/01/2021 08:01
JOSÉ JAVIER ÁLVAREZ MARTÍNEZ,	CENTRO NACIONAL DE METROLOGIA,	0008/2005,	CON FECHA 28 DE NOVIEMBRE DE 2005  AL C. JOSÉ JAVIER ÁLVAREZ MARTÍNEZ  SE LE COMUNICÓ QUE SE LE ADJUDICABAN LOS FALLOS DE LOS LICITACIONES NÚMEROS 10095001-007/05 Y 10095001-009/05  DEBÍENBDO FORMALIZAR LOS CANTRATOS A MAS TARDAR EL DÍA 18 DE DICIEMBRE DE 2005  SIN EMBARGO  EL LICITANTE NO FORMALIZÓ LOS CONBTRATOS.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	29/03/2006,	28/03/2006,	6 MESES,	132150.00,	IGNACIO MARTIN WATSON HERNANDEZ,	14/01/2021 08:01
JOSE LUIS CARMONA LOPEZ,	COMITE ADMINISTRADOR DEL PROGRAMA FEDERAL DE CONSTRUCCIÓN DE ESCUELAS,	0013/2006,	EXISTEN ELEMENTOS PARA ESTABLECER QUE EL C. JOSE LUIS CARMONA LÓPEZ INCUMPLIO LO PREVISTO EN EL ART. 32-D  DEL CODIGO FISCAL DE LA FEDERACIÓN EN RELACION CON LO ESTABLECIDO EN LA REGLA 2.1. 17 DE LA RESOLUCION MISCELANEA FISCAL PARA EL EJERCICIO DE 2005.,	PRESTADOR DE SERVICIOS PROFESIONALES,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	10/11/2006,	08/11/2006,	3 MESES,	75438.50,	CONCEPCIÓN GARCÍA PALMEROS,	14/01/2021 08:01
JOSÉ LUIS GONZÁLEZ MARTÍNEZ,	SECRETARIA DE MEDIO AMBIENTE Y RECURSOS NATURALES,	0001/2016,	ADJUDICACIÓN DIRECTA NUMERO 009/2016  RELACIONADA CON LA ADQUISICIÓN DE UNIFORMES DEPORTIVOS 2016  REALIZADA A TRAVÉS DEL COMPRANET  MEDIO POR EL CUAL SE NOTIFICÓ EL PASADO 4 DE MARZO DE 2016  QUE DEBÍA DE PRESENTARSE A FORMALIZAR EL PEDIDO EL PASADO 18 DE MARZO DE 2016.,	,	SANCIONATORIA CON MULTA,	29/07/2016,	15/07/2016,	,	21030.00,	LUZ MARIA GARCIA RANGEL,	14/01/2021 08:01
JOSÉ LUIS ISLAS ERAZO,	NOTIMEX  AGENCIA DE NOTICIAS DEL ESTADO MEXICANO,	0001/2018,	EL C. JOSÉ LUIS ISLAS ERAZO  EN EL PROCEDIMIENTO DE ADJUDICACIÓN DIRECTA ELECTRÓNICA NÚMERO AA-006AYG001-E5-2018 PARA LA CONTRATACIÓN DEL SUMINISTRO DE AGUA PURIFICADA EN PRESENTACIONES DE GARRAFÓN Y BOTELLA PRESNTÓ DENTRO DE SU PROPUESTA TÉCNICA UN DOCUMENTO DENOMINADO INFORME DE ENSAYO PRESUNTAMENTE FALSO.,	SUMINISTRO DE AGUA PURIFICADA LIBRE DE SODIO,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	06/09/2018,	06/09/2018,	3 MESES,	123704.00,	DIANA SÁNCHEZ CRUZ,	14/01/2021 08:01
JOSE LUIS LUJAN CHÁVEZ,	SECRETARIA DE LA FUNCIÓN PÚBLICA,	0067/2017,	ART. 78 FRQACC. III  DE LA LOPSRM <br>LA EMPRESA INCUMPLIÓ CON SUS OBLIGACIONES DERIVADAS DEL CONTRATO NO  ICHIFE-080/13  OCASIONANDO DAÑOS GRAVES AL INSTITUTO CHIHUAHENSE DE INFRAESTRUCTURA FÍSIC EDUCATIVA.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	29/10/2018,	24/10/2018,	1 AÑO 6 MESES,	625797.00,	MARÍA GUADALUPE VARGAS ÁLVAREZ,	14/01/2021 08:01
JOSÉ LUIS MEDRANO ÁGUILA,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0024/2010,	EL PROVEEDOR  NO ENTREGO LA PÓLIZA DE FIANZA CORRESPONDIENTE AL CONTRATO  <br>NO. D95010.,	,	SANCIONATORIA CON MULTA,	18/11/2011,	08/11/2011,	,	78885.00,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
JOSÉ LUIS VALADEZ HERRERA,	LICONSA  S.A. DE C.V.,	0063/2006,	PRESENTÓ INFORMACIÓN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.,	PERSONA FÍSICA.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	10/11/2006,	30/10/2006,	3 MESES,	70200.00,	PABLO MONTES UTRERA,	14/01/2021 08:01
JOSE MANUEL ANAYA BERRONES,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0204/2009,	NO FORMALIZO EL CONTRATO NO. D80392,	,	SANCIONATORIA CON MULTA,	25/07/2011,	12/07/2011,	,	81514.50,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
JOSÉ MANUEL MORÁN VELÁZQUEZ,	SECRETARIA DE LA FUNCIÓN PÚBLICA,	0053/2015,	78  FRACCIÓN IV DE LA LEY DE OBRAS PÚBLICAS Y SERVICIOS RELACIONADOS CON LAS MISMAS. PROPORCIONAR INFORMACIÓN FALSA DURANTE LA VIGENCIA DEL CONTRATO,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	07/06/2018,	04/06/2018,	1 AÑO 6 MESES,	588840.00,	MARÍA GUADALUPE VARGAS ÁLVAREZ,	14/01/2021 08:01
